Feature,Importance
PubchemFP383,0.0006615852320729542
PubchemFP537,0.0006601694536784415
PubchemFP839,0.0006591860765799251
PubchemFP613,0.0006561767006055616
PubchemFP462,0.0006551560071901015
PubchemFP600,0.000653693689711915
PubchemFP304,0.0006512658821084512
PubchemFP549,0.0006495794002973696
PubchemFP504,0.00063789351693885
PubchemFP382,0.0006376083346956946
PubchemFP635,0.0006344474536106329
PubchemFP663,0.0006338923808446315
PubchemFP417,0.0006338917391969795
PubchemFP661,0.0006321778693801584
PubchemFP738,0.0006277199364755584
PubchemFP336,0.0006274768883651338
PubchemFP477,0.0006244606910947563
PubchemFP598,0.0006231305889034131
PubchemFP824,0.0006193424753891133
PubchemFP565,0.0006167469217431635
PubchemFP508,0.0006096178923172441
PubchemFP788,0.0006095604553488601
PubchemFP38,0.0006060355340278073
PubchemFP365,0.0006034203851476419
PubchemFP710,0.0006004749893034464
PubchemFP518,0.0006004136340675883
PubchemFP21,0.0005965794453851284
PubchemFP18,0.000584008047462276
PubchemFP740,0.0005837319077074145
PubchemFP389,0.0005831721084496731
PubchemFP572,0.0005732178144052632
PubchemFP761,0.0005605745813965075
PubchemFP573,0.0005594054906327966
PubchemFP658,0.0005542457260486655
PubchemFP515,0.0005520018311348773
PubchemFP631,0.0005514196133125974
PubchemFP381,0.0005507192797129746
PubchemFP356,0.0005501665775908098
PubchemFP37,0.0005481807361985027
PubchemFP594,0.0005435571517478943
PubchemFP476,0.0005426973595501709
PubchemFP298,0.0005389823090166778
PubchemFP680,0.0005334215975454549
PubchemFP626,0.000529600576439504
PubchemFP604,0.0005285031392357001
PubchemFP428,0.0005266511562455861
PubchemFP599,0.0005184787421305322
PubchemFP666,0.0005157297489878937
PubchemFP741,0.000512270174691527
PubchemFP708,0.0005028488320547369
PubchemFP589,0.0005020234246104035
PubchemFP461,0.000500536651654751
PubchemFP657,0.0004966715494972598
PubchemFP591,0.0004902356207317748
PubchemFP679,0.0004870299318138276
PubchemFP842,0.00048056218605039327
PubchemFP195,0.0004785386706996341
PubchemFP368,0.0004776001299911373
PubchemFP805,0.00047505782137335255
PubchemFP625,0.000474194648899514
PubchemFP706,0.0004733427005615055
PubchemFP725,0.0004708227044465665
PubchemFP152,0.000466834299056394
PubchemFP700,0.0004664927691346078
PubchemFP342,0.00046622548223856344
PubchemFP294,0.0004645337404589741
PubchemFP701,0.00046249253173189333
PubchemFP300,0.0004609371274521142
PubchemFP503,0.0004591022477999274
PubchemFP637,0.0004589832384600393
PubchemFP571,0.0004567531603398281
PubchemFP467,0.00045617939011748007
PubchemFP543,0.0004531144666821709
PubchemFP514,0.00045045307802126845
PubchemFP644,0.00044996811042841383
PubchemFP803,0.0004422979878548227
PubchemFP214,0.0004394260043798541
PubchemFP575,0.0004392420510660918
PubchemFP403,0.0004352687488870796
PubchemFP581,0.00043347603857231014
PubchemFP379,0.00043061047393229315
PubchemFP401,0.0004276098890996893
PubchemFP455,0.00042622522507840634
PubchemFP742,0.0004262216242915039
